postionInDataBase,	memberNumber,	created,	ParetoRank,	distToRegOfInt,	fitness0,	flowparam0,	flowparam1,	flowparam2,	flowparam3,	scaled_WB.CA,	scaled_WB.SD,	scaled_WB.SH,	scaled_WB.FA,	scaled_WB.FH,	scaled_WB.FW,	scaled_WB.P,	WB.CA,	WB.SD,	WB.SH,	WB.FA,	WB.FH,	WB.FW,	WB.P,	AGdivTime,	AreaGain,	AreaGain_currentObjectives,	MEMBEROPTIMIZATIONFLAG,	MM_fit0,	MM_flowparam0,	MM_flowparam1,	MM_flowparam2,	MMdev_fit0,	MMdev_flowparam0,	MMdev_flowparam1,	MMdev_flowparam2,	MMexpImpr,	MetaModel,	NUOFMEMBEREXPIMPR,	TimeStamp,	UDP_Name,	VarianceExpImpr2ROI,	VarianceMMexpImpr,	cpuSecondsCreated6,	cpuSecondsUDP,	expImpr2ROI,	numbMembCreatedOfBest,	numberWhenCreated,	probOfFullfillROI,	probOfImpROI,	probOfImpr,	remainingProcesses,	secondsCreated6,	secondsUDP,	timeOfProcess0,	timeOfProcess1,	timeOptiOnMMofBest,	timeTraining,	cumulativeVolumeGain,	cumulativeVolumeGain_currentObjectives,	cumTimeTraining,	cumTimeOptiOnMM,	cumTimeUDP,	cumTimeOptiOnMMofBest,	fidelity,	
468,	0,	0,	467,	0,	0.354828,	0.354828,	47.925,	0.000500031,	0,	0.5,	0.5,	0.5,	0.5,	0.5,	0.5,	0.5,	67.5,	10,	3,	15,	4,	1.25,	15,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	54954.4,	nan,	nan,	nan,	nan,	nan,	nan,	0,	nan,	9803.26,	1.01428,	9802.24,	nan,	nan,	0,	0,	0,	0,	9803.26,	0,	0,	
385,	1,	0,	385,	0,	0.342421,	0.342421,	46.2099,	0.00050087,	0,	0.333333,	0.555556,	0.777778,	0.222222,	0.444444,	0.777778,	0.333333,	60,	10.8889,	3.55556,	6.66667,	3.77778,	1.66667,	13.3333,	6.91963e-05,	0.657579,	0.657579,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	53262.3,	nan,	nan,	1,	nan,	nan,	nan,	0,	nan,	9503.09,	1.00603,	9502.09,	nan,	nan,	0.657579,	0.657579,	0,	0,	19306.4,	0,	0,	
501,	2,	0,	500,	0,	0.387563,	0.387563,	47.397,	0.00050006,	0,	0.888889,	0.333333,	0.111111,	0.888889,	0.222222,	0,	0.777778,	85,	7.33333,	2.22222,	26.6667,	2.88889,	0.5,	17.7778,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	53640.4,	nan,	nan,	2,	nan,	nan,	nan,	0,	nan,	9605.05,	1.00566,	9604.05,	nan,	nan,	0.657579,	0.657579,	0,	0,	28911.4,	0,	0,	
452,	3,	0,	451,	0,	0.350977,	0.350977,	61.3655,	0.000500514,	0,	0.444444,	0.222222,	0.555556,	0.555556,	0.666667,	0.555556,	0.888889,	65,	5.55556,	3.11111,	16.6667,	4.66667,	1.33333,	18.8889,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	64625.7,	nan,	nan,	3,	nan,	nan,	nan,	0,	nan,	11514.5,	1.00536,	11513.5,	nan,	nan,	0.657579,	0.657579,	0,	0,	40425.9,	0,	0,	
558,	4,	0,	557,	0.00048116,	0.0127859,	0.0127859,	15.5989,	8.84032e-06,	0,	0.222222,	0,	0.666667,	0.666667,	0.888889,	0.333333,	1,	55,	2,	3.33333,	20,	5.55556,	1,	20,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50603e+09,	0,	nan,	nan,	nan,	71201,	nan,	nan,	4,	nan,	nan,	nan,	0,	nan,	12647.3,	1.00734,	12646.3,	nan,	nan,	0.657579,	0.657579,	0,	0,	53073.3,	0,	0,	
408,	5,	0,	407,	0,	0.345187,	0.345187,	39.6913,	0.000500085,	0,	1,	0.888889,	0.222222,	0,	0.333333,	0.888889,	0.222222,	90,	16.2222,	2.44444,	0,	3.33333,	1.83333,	12.2222,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	50266.5,	nan,	nan,	5,	nan,	nan,	nan,	0,	nan,	8963.04,	1.00723,	8962.03,	nan,	nan,	0.657579,	0.657579,	0,	0,	62036.3,	0,	0,	
410,	6,	0,	409,	0,	0.345332,	0.345332,	51.9569,	0.000500016,	0,	0.666667,	0.111111,	0.333333,	0.444444,	0.111111,	0.666667,	0.666667,	75,	3.77778,	2.66667,	13.3333,	2.44444,	1.5,	16.6667,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	50213.9,	nan,	nan,	6,	nan,	nan,	nan,	0,	nan,	9021.43,	1.01695,	9020.41,	nan,	nan,	0.657579,	0.657579,	0,	0,	71057.7,	0,	0,	
481,	7,	0,	480,	0,	0.359284,	0.359284,	75.233,	0.000500541,	0,	0.111111,	0.444444,	1,	0.333333,	1,	0.444444,	0.444444,	50,	9.11111,	4,	10,	6,	1.16667,	14.4444,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50603e+09,	0,	nan,	nan,	nan,	55857.3,	nan,	nan,	7,	nan,	nan,	nan,	0,	nan,	10029.3,	1.00935,	10028.3,	nan,	nan,	0.657579,	0.657579,	0,	0,	81087.1,	0,	0,	
502,	8,	0,	501,	0,	0.393991,	0.393991,	42.9335,	0.000500374,	0,	0,	0.666667,	0.888889,	0.777778,	0.555556,	0.222222,	0.555556,	45,	12.6667,	3.77778,	23.3333,	4.22222,	0.833333,	15.5556,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50603e+09,	0,	nan,	nan,	nan,	53113.2,	nan,	nan,	8,	nan,	nan,	nan,	0,	nan,	9572.07,	1.00766,	9571.06,	nan,	nan,	0.657579,	0.657579,	0,	0,	90659.1,	0,	0,	
499,	9,	0,	498,	0,	0.376438,	0.376438,	27.2745,	0.000500155,	0,	0.777778,	1,	0,	1,	0,	0.111111,	0,	80,	18,	2,	30,	2,	0.666667,	10,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50603e+09,	0,	nan,	nan,	nan,	37972.3,	nan,	nan,	9,	nan,	nan,	nan,	0,	nan,	6880.13,	1.00705,	6879.13,	nan,	nan,	0.657579,	0.657579,	0,	0,	97539.3,	0,	0,	
