postionInDataBase,	memberNumber,	created,	ParetoRank,	distToRegOfInt,	fitness0,	fitness1,	flowparam0,	flowparam1,	flowparam2,	flowparam3,	scaled_WB.CA,	scaled_WB.SD,	scaled_WB.SH,	scaled_WB.FA,	scaled_WB.FH,	scaled_WB.FW,	scaled_WB.P,	WB.CA,	WB.SD,	WB.SH,	WB.FA,	WB.FH,	WB.FW,	WB.P,	AGdivTime,	AreaGain,	AreaGain_currentObjectives,	MEMBEROPTIMIZATIONFLAG,	MM_fit0,	MM_fit1,	MM_flowparam0,	MM_flowparam1,	MM_flowparam2,	MMdev_fit0,	MMdev_fit1,	MMdev_flowparam0,	MMdev_flowparam1,	MMdev_flowparam2,	MMexpImpr,	MetaModel,	NUOFMEMBEREXPIMPR,	TimeStamp,	UDP_Name,	VarianceExpImpr2ROI,	VarianceMMexpImpr,	cpuSecondsCreated6,	cpuSecondsUDP,	expImpr2ROI,	numbMembCreatedOfBest,	numberWhenCreated,	probOfFullfillROI,	probOfImpROI,	probOfImpr,	remainingProcesses,	secondsCreated6,	secondsUDP,	timeOfProcess0,	timeOfProcess1,	timeOptiOnMMofBest,	timeTraining,	cumulativeVolumeGain,	cumulativeVolumeGain_currentObjectives,	cumTimeTraining,	cumTimeOptiOnMM,	cumTimeUDP,	cumTimeOptiOnMMofBest,	fidelity,	
488,	0,	0,	21,	0,	0.437806,	38.9615,	0.437806,	38.9615,	0.000625025,	0,	0.5,	0.5,	0.5,	0.5,	0.5,	0.5,	0.5,	67.5,	10,	3,	15,	4,	1.25,	15,	3.88143e-06,	0.0374169,	0.0374169,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	53834,	nan,	nan,	nan,	nan,	nan,	nan,	0,	nan,	9639.96,	1.00566,	9638.96,	nan,	nan,	0.0374169,	0.0374169,	0,	0,	9639.96,	0,	0,	
587,	1,	0,	34,	0,	0.455833,	32.936,	0.455833,	32.936,	0.0006254,	0,	1,	0.444444,	0.666667,	0.888889,	0.222222,	0.333333,	0.333333,	90,	9.11111,	3.33333,	26.6667,	2.88889,	1,	13.3333,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50601e+09,	0,	nan,	nan,	nan,	45202.8,	nan,	nan,	1,	nan,	nan,	nan,	0,	nan,	8175.01,	1.00521,	8174,	nan,	nan,	0.0374169,	0.0374169,	0,	0,	17815,	0,	0,	
217,	2,	0,	8,	0,	0.414227,	47.5829,	0.414227,	47.5829,	0.000625,	0,	0.777778,	0.555556,	0.777778,	0,	0,	0.444444,	1,	80,	10.8889,	3.55556,	0,	2,	1.16667,	20,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	52272.5,	nan,	nan,	2,	nan,	nan,	nan,	0,	nan,	9496.64,	1.03432,	9495.61,	nan,	nan,	0.0374169,	0.0374169,	0,	0,	27311.6,	0,	0,	
495,	3,	0,	21,	0,	0.442146,	30.8196,	0.442146,	30.8196,	0.000624999,	0,	0.555556,	0.888889,	0.111111,	0.555556,	0.111111,	0.222222,	0.555556,	70,	16.2222,	2.22222,	16.6667,	2.44444,	0.833333,	15.5556,	0.000134443,	1.18064,	1.18064,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50601e+09,	0,	nan,	nan,	nan,	49043.4,	nan,	nan,	3,	nan,	nan,	nan,	0,	nan,	8781.71,	1.00793,	8780.7,	nan,	nan,	1.21806,	1.21806,	0,	0,	36093.3,	0,	0,	
38,	4,	0,	2,	0,	0.379424,	53.8447,	0.379424,	53.8447,	0.000614553,	0,	0.888889,	0,	0.555556,	0.444444,	0.333333,	0.777778,	0.888889,	85,	2,	3.11111,	13.3333,	3.33333,	1.66667,	18.8889,	1.87113e-05,	0.20986,	0.20986,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50603e+09,	0,	nan,	nan,	nan,	62325.9,	nan,	nan,	4,	nan,	nan,	nan,	0,	nan,	11215.7,	1.01036,	11214.6,	nan,	nan,	1.42792,	1.42792,	0,	0,	47309,	0,	0,	
596,	5,	0,	38,	0,	0.498695,	29.1453,	0.498695,	29.1453,	0.000625004,	0,	0,	0.666667,	1,	1,	0.444444,	1,	0.222222,	45,	12.6667,	4,	30,	3.77778,	2,	12.2222,	8.7601e-05,	0.839335,	0.839335,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	53236.3,	nan,	nan,	5,	nan,	nan,	nan,	0,	nan,	9581.34,	1.01052,	9580.33,	nan,	nan,	2.26725,	2.26725,	0,	0,	56890.3,	0,	0,	
503,	6,	0,	22,	0,	0.440909,	39.164,	0.440909,	39.164,	0.000625222,	0,	0.666667,	0.111111,	0.888889,	0.666667,	0.888889,	0,	0.444444,	75,	3.77778,	3.77778,	20,	5.55556,	0.5,	14.4444,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50603e+09,	0,	nan,	nan,	nan,	55390.8,	nan,	nan,	6,	nan,	nan,	nan,	0,	nan,	9957.9,	1.01478,	9956.89,	nan,	nan,	2.26725,	2.26725,	0,	0,	66848.2,	0,	0,	
482,	7,	0,	20,	0,	0.435936,	43.8889,	0.435936,	43.8889,	0.000625001,	0,	0.333333,	0.222222,	0.333333,	0.222222,	0.555556,	0.555556,	0.666667,	60,	5.55556,	2.66667,	6.66667,	4.22222,	1.33333,	16.6667,	6.71153e-07,	0.00690778,	0.00690778,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50603e+09,	0,	nan,	nan,	nan,	57077.3,	nan,	nan,	7,	nan,	nan,	nan,	0,	nan,	10292.4,	1.01616,	10291.4,	nan,	nan,	2.27416,	2.27416,	0,	0,	77140.6,	0,	0,	
379,	8,	0,	15,	0,	0.424849,	46.3524,	0.424849,	46.3524,	0.000625,	0,	0.444444,	0.333333,	0.444444,	0.333333,	0.666667,	0.888889,	0.777778,	65,	7.33333,	2.88889,	10,	4.66667,	1.83333,	17.7778,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50604e+09,	0,	nan,	nan,	nan,	62443.8,	nan,	nan,	8,	nan,	nan,	nan,	0,	nan,	11319.1,	1.00779,	11318.1,	nan,	nan,	2.27416,	2.27416,	0,	0,	88459.8,	0,	0,	
595,	9,	0,	37,	0,	0.474066,	25.9344,	0.474066,	25.9344,	0.000527044,	0,	0.111111,	0.777778,	0,	0.777778,	1,	0.111111,	0.111111,	50,	14.4444,	2,	23.3333,	6,	0.666667,	11.1111,	7.01139e-05,	0.584786,	0.584786,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50603e+09,	0,	nan,	nan,	nan,	46183.9,	nan,	nan,	9,	nan,	nan,	nan,	0,	nan,	8340.51,	1.00782,	8339.5,	nan,	nan,	2.85895,	2.85895,	0,	0,	96800.3,	0,	0,	
